dataset,missing_rate,overlap_bucket,head_count,max_key_overlap_mean,mean_key_overlap_mean,write_damage_mean,write_damage_median,decay_damage_mean
CMUMOSI,0.1,"[0,.1)",316,0.051974849911005816,0.044888431483384554,0.0014901092759321763,0.00016735494136810303,0.010424036184868103
CMUMOSI,0.1,"[.1,.2)",341,0.153574795098948,0.12691402002688376,0.017507615829667738,0.00519154965877533,0.01027965208084003
CMUMOSI,0.1,"[.2,.4)",583,0.2903466466974026,0.22499001698367183,0.04961492334002083,0.0147220678627491,0.009906878723646314
CMUMOSI,0.1,"[.4,.6)",297,0.45385146833429435,0.31031913669021044,0.10296936994198998,0.05591084063053131,0.009119477944592835
CMUMOSI,0.1,"[.6,1]",119,0.6682540033043933,0.4820074363916862,0.12070436972905607,0.07270771265029907,0.008946659262566006
CMUMOSI,0.3,"[0,.1)",1001,0.05169315414585091,0.047174465441546,0.0018694004775224986,0.00022549927234649658,0.01071877856287625
CMUMOSI,0.3,"[.1,.2)",1050,0.15010273604875518,0.13246646888908886,0.01628671767278796,0.005375869572162628,0.010300776117614338
CMUMOSI,0.3,"[.2,.4)",1381,0.2982665553721373,0.24762615177356878,0.04936932961225164,0.014246463775634766,0.01005115427459866
CMUMOSI,0.3,"[.4,.6)",585,0.4575057182047102,0.3469939025039347,0.09282753743931778,0.04826876521110535,0.009055259922503407
CMUMOSI,0.3,"[.6,1]",247,0.6667913285344236,0.505179225674525,0.11297199742393454,0.0727129876613617,0.009237335964675374
CMUMOSI,0.5,"[0,.1)",2047,0.05070092405374997,0.049100536783464696,0.0018963164340069542,0.00019747763872146606,0.01124300617173234
CMUMOSI,0.5,"[.1,.2)",1792,0.14524607344148016,0.13815686080488376,0.014680567231802602,0.006794195622205734,0.010909459610827201
CMUMOSI,0.5,"[.2,.4)",2101,0.29543601253071267,0.26741628722242944,0.050354135149592506,0.022145405411720276,0.01025686777954383
CMUMOSI,0.5,"[.4,.6)",846,0.45426708678263583,0.38092843872928733,0.07468221831987513,0.04592297598719597,0.008718520167325546
CMUMOSI,0.5,"[.6,1]",342,0.6736820185045053,0.5787883011395472,0.14336199971318941,0.12012641876935959,0.009204313235237585
CMUMOSI,0.7,"[0,.1)",2701,0.05196537642711439,0.05152576803319399,0.002053482540059381,0.00018608570098876953,0.011323656581317395
CMUMOSI,0.7,"[.1,.2)",2131,0.14021140135604415,0.137502210201623,0.012970805232833104,0.006505250930786133,0.010968850716661814
CMUMOSI,0.7,"[.2,.4)",2491,0.2920398138544254,0.28109493230431015,0.043161295853863274,0.022622987627983093,0.009904864190698914
CMUMOSI,0.7,"[.4,.6)",914,0.4513747220292394,0.41788195786056165,0.07973003911192751,0.052254192531108856,0.00915541384303922
CMUMOSI,0.7,"[.6,1]",379,0.6783256477290533,0.638810074266469,0.16921515365703754,0.14996211230754852,0.00797615322163992
